ime planinske točke,ime bližnje točke,višina bližnje točke (m)
Ablanca,Tosc,2275
Ablanca,Veliki Draški vrh,2243
Ablanca,Vernar,2225
Ablanca,Mali Draški vrh,2132
Ablanca,Viševnik,2050
Ablanca,Draški rob,1979
Ablanca,Studorski preval,1892
Ablanca,Srednji Selišnik,1890
Ablanca,Vodnikov dom na Velem polju,1817
Ablanca,Plesišče,1790
Ablanca,Planina Konjščica,1438
Adam,Debeli vrh,2390
Adam,Vrh Hribaric,2388
Adam,Mišelj vrh,2350
Adam,Škednjovec,2309
Adam,Ogradi,2087
Adam,Prevalski Stog,2075
Adam,Jezerski Stog,2040
Adam,Eva,2019
Adam,Krsteniški Stog,1879
Adam,Planina Jezerce,1720
Adam,Planina Krstenica,1670
Adam,Planina pod Mišelj vrhom,1645
Adam,Planina v Lazu,1560
Ajdna,Potoška planina,1270
Ajdna,Žirovniška planina,1200
Ajdna,Valvasorjev dom pod Stolom,1181
Ajdna,Smolnik,1075
Ajdna,Malnež,846
Ajdna,Turška jama v Gozdašnici,835
Ajdna,Gradišče nad Sotesko (Soteska),724
Aljažev dom v Vratih,Stenar,2501
Aljažev dom v Vratih,Cmir,2393
Alničje,Kamnitnik,1858
Alničje,Bivak na Belščici,1750
Alničje,Hrašenska planina,1670
Alničje,Planina Stamare,1400
Alničje,Potoška planina,1270
Alničje,Velika Boncla,1241
Alničje,Mala Boncla (Bavha),1131
Alničje,Gank,850
Alničje,Malnež,846
Alničje,Strana,711
Alničje,Čopov rovt,710
Alničje,Javorniški slapovi,690
Alpengasthof Siebenhütten,Bistriška špica/Feistritzer Spitze,2113
Alpengasthof Siebenhütten,Končnikov vrh,2109
Alpengasthof Siebenhütten,Velika glava,2077
Ambrož pod Krvavcem,Planina Jezerca,1410
Ambrož pod Krvavcem,Prgozdnik,1013
Andrejev dom na Slemenu,Sveti Vid pod Jernejevim vrhom,1075
Andrejev vrh,Volinjak,886
Andrejev vrh,Leški cerkvi,674
Apnišče,Zapečnikova planina,840
Apnišče,Štefanja gora,748
Apnišče,Jamna peč,720
Apnišče,Sveti Nikolaj (Možjanca),689
