ime,gorovje,višina (m),število ogledov,priljubljenost (mesto),število planinskih točk v okolici,število poti

Triglav,Julijske Alpe,2864,1148089,1,13,26

Montaž / Jôf di Montasio,Julijske Alpe,2753,622945,46,4,3

Škrlatica,Julijske Alpe,2740,654163,30,14,5

Mali Triglav,Julijske Alpe,2725,514378,210,12,3

Mangart,Julijske Alpe,2679,717796,8,2,8

Viš/Jof Fuart,Julijske Alpe,2666,567614,101,7,5

Vrh Brda / Cima Verde,Julijske Alpe,2661,442566,446,4,1

Visoki Rokav,Julijske Alpe,2646,495179,268,15,2

Jalovec,Julijske Alpe,2645,682623,18,6,10

Veliki Oltar,Julijske Alpe,2621,533162,160,14,2

Velika Martuljška Ponca,Julijske Alpe,2602,490498,287,15,1

Razor,Julijske Alpe,2601,624645,43,10,5

Dolkova špica,Julijske Alpe,2591,533892,158,10,5

Visoki Kanin,Julijske Alpe,2587,564128,107,3,5

Mali Kanin,Julijske Alpe,2571,441127,453,3,1

Kanjavec,Julijske Alpe,2569,576580,87,16,8

Kanjavec (Zahodni vrh),Julijske Alpe,2569,383840,667,16,4

Glava v Zaplanji,Julijske Alpe,2556,438911,459,10,4

Prisank / Prisojnik,Julijske Alpe,2547,674139,19,4,12

Rogljica,Julijske Alpe,2547,393945,628,12,1

Dovški križ,Julijske Alpe,2542,515372,207,12,2

Kredarica,Julijske Alpe,2541,6410,1996,12,1

Rž,Julijske Alpe,2538,484274,303,12,4

Rjavina,Julijske Alpe,2532,568059,99,7,9

Špik nad Nosom / Foronon del Buinz,Julijske Alpe,2531,473029,336,5,2

Morbegna,Julijske Alpe,2520,494557,270,9,3

Triglavski dom na Kredarici,Julijske Alpe,2515,614481,52,13,9

Koštrunove špice,Julijske Alpe,2502,449713,422,7,3

Mala Martuljška Ponca,Julijske Alpe,2501,418099,533,15,1

Stenar,Julijske Alpe,2501,587714,67,13,5

Spodnji Rokav,Julijske Alpe,2500,338473,837,13,1

Prestreljenik,Julijske Alpe,2499,512110,216,7,7

Široka peč,Julijske Alpe,2497,441563,452,13,1

Poprovec,Julijske Alpe,2496,361981,746,19,3

Teme (Hribarice),Julijske Alpe,2495,357830,761,19,2

Veliki Ozebnik,Julijske Alpe,2480,435689,469,6,4

Špik,Julijske Alpe,2472,635982,36,9,5

Mišeljski Konec,Julijske Alpe,2464,430851,493,18,1

Begunjski vrh,Julijske Alpe,2461,511424,219,10,6

Planja,Julijske Alpe,2453,480696,314,10,4

Vršaki (Vzhodni vrh),Julijske Alpe,2448,320335,910,21,4

Vrh Krnice,Julijske Alpe,2441,345483,811,4,1

Vršaki (Južni vrh),Julijske Alpe,2431,246263,1196,22,2

Bivak Suringar,Julijske Alpe,2430,329900,873,3,2

Kukova špica,Julijske Alpe,2427,527444,175,9,2

Vršaki (Srednji vrh),Julijske Alpe,2424,308503,955,20,2

