ime planinske točke,pot,zahtevnost
Ablanca,Konec ceste na Pokljuki - Ablanca,zahtevna neoznačena steza
Ablanca,Rudno polje - Ablanca (čez Jezerce in Studorski preval),zahtevna neoznačena steza
Ablanca,Rudno polje - Ablanca (čez Srenjski preval),zahtevna neoznačena steza
Ablanca,Srednja vas - Ablanca (Za Ribnico in čez planino Spodnji Tosc),zahtevna neoznačena steza
Ablanca,"Srednja vas - Ablanca (Za Ribnico, čez Jezerce in Studorski preval)",zahtevna neoznačena steza
Ablanca,Uskovnica (Lom) - Ablanca (čez Jezerce in Studorski preval),zahtevna neoznačena steza
Ablanca,Uskovnica (Lom) - Ablanca (čez planino Spodnji Tosc),zahtevna neoznačena steza
Ablanca,Uskovnica (Razpotje) - Ablanca (čez Jezerce in Studorski preval),zahtevna neoznačena steza
Ablanca,Uskovnica (Razpotje) - Ablanca (čez planino Spodnji Tosc),zahtevna neoznačena steza
Adam,Planina Blato - Adam,lahko brezpotje
Ajdna,Koroška Bela - Ajdna,lahka označena pot
Ajdna,Koroška Bela - Ajdna (plezalna pot),zahtevna označena pot
Ajdna,Na Sušeh - Ajdna (lahka pot),lahka označena pot
Ajdna,Na Sušeh - Ajdna (plezalna pot),zahtevna označena pot
Ajdna,Potoki - Ajdna,lahka označena pot
Ajdna,Valvasorjev dom pod Stolom - Ajdna (lahka pot),lahka označena pot
Ajdna,Valvasorjev dom pod Stolom - Ajdna (plezalna pot),zahtevna označena pot
Ajdovski gradec,Bohinjska Bistrica (železniška postaja) - Ajdovski gradec (Ob železnici),lahka označena pot
Ajdovski gradec,Bohinjska Bistrica (železniška postaja) - Ajdovski gradec (ob Savi),lahka neoznačena steza
Aljažev dom v Vratih,Koča pri Peričniku - Aljažev dom v Vratih (Pot Triglavske Bistrice),lahka označena pot
Alničje,Koroška Bela (RC Kres) - Alničje (direktna čez greben),delno zahtevna neoznačena pot
Alničje,Koroška Bela (RC Kres) - Alničje (lovska pot),lahka neoznačena steza
Alničje,Pri Žagi (Javorniški Rovt) - Alničje,lahka neoznačena steza
Alpengasthof Siebenhütten,Najberž - Alpengasthof Siebenhütten,lahka označena pot
Alpengasthof Siebenhütten,Najberž - Alpengasthof Siebenhütten (Walter Mory Klettersteig),zelo zahtevna označena pot
Ambrož pod Krvavcem,Apno - Ambrož pod Krvavcem (čez Prgozdnik),lahka neoznačena steza
Ambrož pod Krvavcem,Planinski dom Milana Šinkovca - Ambrož pod Krvavcem,lahka označena pot
Ambrož pod Krvavcem,Spodnja postaja žičnice na Krvavec - Ambrož pod Krvavcem (skozi Lukenjski graben),lahka neoznačena steza
Ambrož pod Krvavcem,Zalog pri Cerkljah - Ambrož pod Krvavcem,lahka označena pot
Ambrož pod Krvavcem,Šenturška Gora - Ambrož pod Krvavcem,lahka označena pot
Ambrož pod Krvavcem,Šenturška Gora - Ambrož pod Krvavcem (čez Jagošce),lahka označena pot
Ambrož pod Krvavcem,Šenturška Gora - Ambrož pod Krvavcem (čez Prgozdnik),lahka neoznačena steza
Andrejev dom na Slemenu,Bele Vode (Sveti Andrej) - Andrejev dom na Slemenu,lahka označena pot
Andrejev dom na Slemenu,Potok Slanica - Andrejev dom na Slemenu,lahka označena pot
Andrejev dom na Slemenu,Zavodnje - Andrejev dom na Slemenu,lahka označena pot
Andrejev dom na Slemenu,Črna na Koroškem - Andrejev dom na Slemenu (po cesti),lahka označena pot
Andrejev vrh,Leše - Andrejev vrh (mimo Leških cerkva in mimo kapelice),lahka neoznačena steza
Andrejev vrh,Leše - Andrejev vrh (mimo Leških cerkva in po kolovozu),lahka neoznačena steza
Andrejev vrh,Mežica - Andrejev vrh (mimo kapelice),lahka neoznačena steza
Andrejev vrh,Mežica - Andrejev vrh (po kolovozu),lahka neoznačena steza
Andrejev vrh,Poljana - Andrejev vrh (mimo Leških cerkva in mimo kapelice),lahka neoznačena steza
Andrejev vrh,Poljana - Andrejev vrh (mimo Leških cerkva in po kolovozu),lahka neoznačena steza
Andrejev vrh,Poljana - Andrejev vrh (čez Volinjak in mimo kapelice),lahka neoznačena steza
Andrejev vrh,Poljana - Andrejev vrh (čez Volinjak in po kolovozu),lahka neoznačena steza
Apnišče,Adergas - Apnišče (mimo šterne),lahka neoznačena steza
Apnišče,Možjanca - Apnišče,lahka označena pot
Apnišče,Olševek - Apnišče (mimo šterne),lahka neoznačena steza
Apnišče,Olševek - Apnišče (zahodna pot),lahka neoznačena steza
Apnišče,Preddvor - Apnišče (po pešpoti),lahka neoznačena steza
Arihova peč / Arichwand,Čemernica / Tschemernitzen - Arihova peč / Arichwand,lahka označena pot
Baba,Potoče - Baba (mimo sv. Jakoba in izvira pod Potoško goro),lahka neoznačena steza
Baba,Spodnja Kokra - Baba,lahka neoznačena steza
Basališče (Paški Kozjak),Bio kmetija Magu - Basališče (Paški Kozjak),lahka označena pot
Basališče (Paški Kozjak),Dom na Paškem Kozjaku - Basališče (Paški Kozjak),lahka označena pot
Basališče (Paški Kozjak),Vitanje - Basališče (Paški Kozjak),lahka označena pot
Batognica,Dom v Lepeni - Batognica (čez Krnsko škrbino),delno zahtevna označena pot
